id,dist_metro2017,dist_metro2018,dist_metro2019,dist_metro2020,dist_metro2021
1,530.8905686,530.8905686,530.8905686,530.8905686,530.8905686
2,7403.251115,7403.251115,14205.82496,15662.59331,7629.378261
3,3762.236195,3762.236195,6380.893547,6750.770202,2735.826598
4,5706.441914,5706.441914,5156.134269,5156.134269,1891.265567
5,2538.078295,2538.078295,2538.078295,4281.114,3090.394889
6,1485.794734,1485.794734,1485.794734,9451.522457,5227.345922
7,2665.562571,2665.562571,2665.562571,4651.64575,2587.291542
8,4063.738533,4063.738533,4063.738533,4063.738533,4063.738533
9,1605.60179,1605.60179,5916.215724,5916.215724,4168.2503
10,1032.979953,1032.979953,5953.090859,5953.090859,2295.975618
11,982.4362089,982.4362089,5945.295872,5945.295872,3194.524013
12,2771.284255,2771.284255,6665.446685,6665.446685,1047.311688
13,5042.985135,5042.985135,5042.985135,6340.641237,1705.089239
14,1370.323696,1370.323696,1370.323696,1479.611264,4561.078412
15,16028.90911,16028.90911,18658.95316,23465.91076,16241.60383
16,4034.28575,4034.28575,5376.874211,14790.63666,7000.632924
17,4333.519741,4333.519741,5838.117579,6350.111215,2187.87621
18,2862.307803,2862.307803,2735.502448,2735.502448,2243.73467
19,3277.418808,3277.418808,3277.418808,3277.418808,2402.046163
20,5113.291659,5113.291659,5113.291659,5113.291659,1480.713935
21,5081.344704,5081.344704,5081.344704,5081.344704,1522.665388
22,3133.917617,3133.917617,2883.075424,2883.075424,2221.867801
23,3250.062214,3250.062214,3250.062214,3250.062214,2455.304877
24,2911.159827,2911.159827,2911.159827,2911.159827,2911.159827
25,8060.460423,8060.460423,8060.460423,8060.460423,1402.883507
26,3449.251739,3449.251739,3449.251739,4006.624997,4205.873007
27,2673.4915,2673.4915,2673.4915,3404.671134,4871.496488
28,2300.56393,2300.56393,2300.56393,9346.107689,4798.216243
29,2710.433515,2710.433515,2341.165328,2341.165328,9035.016788
30,1771.601564,1771.601564,1296.890577,1296.890577,2984.750744
31,132.4279363,132.4279363,132.4279363,132.4279363,132.4279363
32,4100.46407,4100.46407,4100.46407,5527.584379,4938.795951
33,4368.561227,4368.561227,3551.593854,3551.593854,2570.885095
34,801.6166267,801.6166267,24137.99192,24137.99192,8299.847281
35,380.9269029,380.9269029,380.9269029,380.9269029,380.9269029
36,1484.336133,1484.336133,1484.336133,11771.4998,7015.672761
37,1448.442439,1448.442439,1448.442439,1448.442439,1610.641041
38,2810.425069,2810.425069,2810.425069,2810.425069,1431.640918
39,1297.823365,1297.823365,1297.823365,1297.823365,3981.691322
40,2940.439643,2940.439643,2940.439643,2940.439643,1347.897823
41,2908.379174,2908.379174,2908.379174,2908.379174,1637.713751
42,2547.964944,2547.964944,2547.964944,2547.964944,912.9940776
43,1416.276894,1416.276894,1416.276894,1416.276894,5634.844697
44,7554.48056,7554.48056,7554.48056,7554.48056,2201.021942
45,1053.411209,1053.411209,17198.11453,17198.11453,12031.42916
46,849.1235315,849.1235315,849.1235315,2101.142675,4109.927397
47,1727.077927,1727.077927,1727.077927,2085.480107,4480.955629
48,890.3466029,890.3466029,10159.58452,10159.58452,3603.056171
49,2544.232725,2544.232725,2544.232725,2544.232725,2853.918158
50,1139.742863,1139.742863,1139.742863,1139.742863,5484.592989
51,3244.059046,3244.059046,3244.059046,3443.351828,3344.272824
52,1494.688546,1494.688546,1494.688546,1494.688546,1716.963198
53,3813.733527,3813.733527,3500.926758,3500.926758,2120.478416
54,11592.94968,11592.94968,15181.24031,18927.9382,11723.34261
55,5263.332372,5263.332372,5319.030898,5775.575547,1401.288802
56,7290.515352,7290.515352,8794.781137,8794.781137,5111.58881
57,3175.944211,3175.944211,3175.944211,3175.944211,3175.944211
58,15591.41337,15591.41337,13343.47933,13343.47933,1451.551437
59,13277.36784,13277.36784,12750.58305,12750.58305,1965.345226
60,1299.130582,1299.130582,16925.89895,16925.89895,12130.807
61,913.300464,913.300464,913.300464,913.300464,913.300464
62,1400.677539,1400.677539,1299.020596,1299.020596,1400.677539
63,3811.028654,3811.028654,5208.556736,5208.556736,1106.06804
64,3924.132965,3924.132965,3924.132965,3924.132965,2696.407505
65,3564.477532,3564.477532,3564.477532,3564.477532,1017.323112
66,4229.384825,4229.384825,2278.593528,2278.593528,6240.731109
67,4777.827911,4777.827911,4777.827911,5538.219135,4633.671629
68,3590.381881,3590.381881,2998.251994,3051.836783,6650.113657
69,3925.584066,3925.584066,1523.349135,1523.349135,7509.298056
70,2030.01306,2030.01306,2030.01306,3937.695432,3937.695432
71,2180.482841,2180.482841,2180.482841,2180.482841,1655.454919
72,4243.15386,4243.15386,3891.611529,3891.611529,7551.099953
73,3434.526598,3434.526598,3434.526598,3434.526598,590.7039576
74,3009.86865,3009.86865,2714.393107,2714.393107,2042.704559
75,3345.275365,3345.275365,3187.351521,3187.351521,2566.068435
76,3569.136517,3569.136517,652.3768431,652.3768431,4793.789238
77,742.970909,742.970909,742.970909,742.970909,3174.455098
78,1818.338569,1818.338569,1481.749508,1481.749508,1818.338569
79,11026.55865,11026.55865,16249.50797,19687.51505,12234.52693
80,2157.23706,2157.23706,2157.23706,2157.23706,1196.598
81,1757.932632,1757.932632,1757.932632,1757.932632,2900.936052
82,2609.785903,2609.785903,2005.204362,2609.785903,2609.785903
83,2816.988429,2816.988429,2816.988429,2816.988429,2326.54362
84,1500.530859,1500.530859,4200.142436,7768.515504,10544.1636
85,14644.48958,14644.48958,12913.66991,12913.66991,1378.868069
86,332.7033897,332.7033897,332.7033897,2509.798533,4130.121934
87,3062.890714,3062.890714,6116.119661,6116.119661,4196.119779
88,7114.702,7114.702,13818.25186,14862.84213,6751.683406
89,12041.07393,12041.07393,10579.48346,10579.48346,1456.239285
90,12457.34365,12457.34365,11289.77062,11289.77062,2042.01895
91,11429.76641,11429.76641,14846.31265,18536.67071,11336.2682
92,400.6440892,400.6440892,8697.9879,8697.9879,282.9972869
93,2725.336461,2725.336461,2725.336461,2725.336461,789.0183924
94,2218.351473,2218.351473,2218.351473,12889.74817,9485.324611
95,3983.851949,3983.851949,3888.869849,4507.367122,4565.348728
96,2904.129,2904.129,2904.129,2904.129,2904.129
97,3582.3168,3582.3168,3582.3168,3582.3168,3582.3168
98,2640.773539,2640.773539,2640.773539,2640.773539,2890.845584
99,4611.052118,4611.052118,4311.987229,4311.987229,2002.129678
100,3140.944257,3140.944257,3140.944257,11427.81919,7621.476748
101,2338.918041,2338.918041,2338.918041,2338.918041,2660.730458
102,1036.562316,1036.562316,135.6514465,135.6514465,6133.95148
103,2738.366261,2738.366261,2348.788362,2348.788362,1672.726102
104,466.5591147,466.5591147,466.5591147,1746.34218,6671.12708
105,3102.747745,3102.747745,6522.178346,6522.178346,737.4209713
106,12933.50495,12933.50495,12074.85276,12074.85276,2445.651313
107,2025.449878,2025.449878,2025.449878,4089.505445,4089.505445
108,14832.14785,14832.14785,14252.07322,14252.07322,598.3834036
109,1711.690556,1711.690556,16446.87471,16446.87471,11535.99662
110,10533.49835,10533.49835,10106.93662,10106.93662,7378.583506
111,2807.902812,2807.902812,2806.986972,2806.986972,3035.384138
112,2369.851357,2369.851357,4129.585685,5549.900301,8386.093448
113,1672.584712,1672.584712,1672.584712,9340.860338,5038.88766
114,5261.576914,5261.576914,2513.106523,2513.106523,5193.17707
115,6387.884844,6387.884844,7742.01938,7742.01938,5040.101496
116,6159.203478,6159.203478,8030.064155,8030.064155,4409.262816
117,2636.398003,2636.398003,2636.398003,2636.398003,2636.398003
118,4831.961157,4831.961157,4831.961157,5106.862933,3011.870255
119,2475.37898,2475.37898,2475.37898,9963.349825,2681.874214
120,2024.937803,2024.937803,2024.937803,1655.835952,8867.753084
121,2738.897535,2738.897535,2728.663836,2728.663836,1981.113195
