resblock_id,resblock_name,jiedao
id5010019885560690,保德路425弄,临汾路街道
id5010020987088220,彭顺小区,彭浦新村街道
id5010020987088220,彭浦新村,彭浦新村街道
id5010020987088220,彭浦新村,彭浦新村街道
id5010021561708320,城南路713号,川沙新镇
id5010021942603730,岭南路100弄,彭浦新村街道
id5010022184563010,航华三村四街坊,七宝镇
id5010022184563010,航华三村四街坊,七宝镇
id5010022188232030,航华三村三街坊,七宝镇
id5010022188232030,航华三村一街坊,七宝镇
id5010022437793980,岭南路700弄,彭浦新村街道
id5010023009006250,岭南路270弄,彭浦新村街道
id5010023573139550,控江路740弄,延吉新村街道
id5010023573139550,延吉一村,延吉新村街道
id5010023573140070,控江路764弄,延吉新村街道
id5010023985492530,绿梅公寓罗阳路111弄,梅陇镇
id5010023985492530,绿梅公寓莘凌路241弄,梅陇镇
id5010023985492940,辉河路24号,曲阳路街道
id5010024251829270,光华路259号,颛桥镇
id5010024972988460,运光路45弄,曲阳路街道
id5010027008011640,复星花园行知路50弄,大场镇
id5010027008011890,复星花园行知路569弄,大场镇
id5010027706626890,富丽公寓东区,七宝镇
id5010028026178860,高行绿洲五期,高行镇
id5010028220953560,虹康景博苑,新泾镇
id5010028379025560,乐山路6号,徐家汇街道
id5010028561477020,地杰国际城二期,北蔡镇
id5010028561477020,地杰国际城三期,北蔡镇
id5010028561477020,地杰国际城一期,北蔡镇
id5010028561477020,地杰国际城,北蔡镇
id5010028561477020,地杰国际城E欧泊时光,北蔡镇
id5010028700414410,地杰国际城三期,北蔡镇
id5010050971381910,延安西路1236弄,江苏路街道
id5010116439224390,上海链家大厦测试,南京东路街道
id5010135159976530,滨湖郡,朱家角镇
id5010136967196430,东兰路101号,古美街道
id5010141608193430,玉田路448号,曲阳路街道
id5010163580055580,曲阳路493号,欧阳路街道
id5010182331216740,控江路298号,长白新村街道
id5010269359616490,公兴路244号,宝山路街道
id5010269904089990,眉州路110弄,大桥街道
id5010274068771440,锦西路61号,四平路街道
id5010293376725880,塘泾北苑,吴泾镇
id5010295305057240,嘉海雅苑,江桥镇
id5010295305057240,嘉海雅苑,江桥镇
id5010295305057260,城中路210号,嘉定镇街道
id5010297440744000,宣城新村,宣桥镇
id5010301288230760,芷江西路234号,芷江西路街道
id5010303644642570,西姚家弄52号,豫园街道
id5010315974849480,富岩路11号,马桥镇
id5010320849154790,三八小区,惠南镇
id5010321673859830,同心路973号,广中路街道
id5010322005209790,同鸣小区,广中路街道
id5010322005209790,嘉苑公寓,广中路街道
id5010337466985620,城南路251号,川沙新镇
id5010338597089060,民主街107号,南翔镇
id5010341249986080,杨家弄86号,安亭镇
id5010343795666930,闻喜路616弄,彭浦新村街道
id5010365452168680,万安路356号,江湾镇街道
id5010366543475590,西塔弄40号,岳阳街道
id5010408704880410,安化路417号,华阳路街道
id5010428443012190,马桥镇西街8号,马桥镇
id5010433090039440,南中街55号,马桥镇
id5010434658709430,新城上坤樾山璟里,洞泾镇
id5010434962797530,西三里桥路8弄,南码头路街道
